StartDate,link_lifetime_stage,coin_credited,coin_expired,coin_burn,subs_coin_credited,subs_coin_expired,subs_coin_burn,coin_uitilized,subs_coin_uitilized
31/10/22,0.NEW,851723,13163,838560,0,0,0,198987,0
31/10/22,1.HANDHOLDING,385602,1454447.1,-1068845.1,4,0,4,276891.73,1094.75
31/10/22,2.HOOK,285492,274494.28,10997.72,537,0,537,184011,3566
31/10/22,3.DETOX,130019,80100.85,49918.15,2944,0,2944,130266.92,9324
31/10/22,4.SUSTENANCE,63706,20016,43690,213,0,213,35141,427
31/10/22,5.COMMITTED,134415,34916.17,99498.83,798,0,798,115254.48,4419
31/10/22,6.CHURN_OTB,75959,39303.15,36655.85,536,0,536,54634,2267
31/10/22,7.SOFT_CHURN,51679,15895,35784,83,0,83,23314,302
31/10/22,8.DORMANT,644819,178440,466379,452,0,452,205689.01,1699
31/10/22,9.INACTIVE,888927,720640,168287,0,0,0,263199.22,35
07/11/22,0.NEW,862636,8452,854184,0,0,0,197989.09,0
07/11/22,1.HANDHOLDING,398816,1391279.34,-992463.34,349,0,349,297469.38,837
07/11/22,2.HOOK,255047,458235.01,-203188.01,776,0,776,224644.93,3430
07/11/22,3.DETOX,137632,121877.24,15754.76,2169,0,2169,147343.95,8973.95
07/11/22,4.SUSTENANCE,51910,24540,27370,143,0,143,32705.13,437
07/11/22,5.COMMITTED,112778,31187.89,81590.11,1294,0,1294,96831.21,3903
07/11/22,6.CHURN_OTB,52455,45790.04,6664.96,303,0,303,36525,825
07/11/22,7.SOFT_CHURN,29990,11024,18966,71,0,71,12020,184
07/11/22,8.DORMANT,594111,158602.95,435508.05,601,0,601,188837.59,1404
07/11/22,9.INACTIVE,836488.5,477565,358923.5,0,0,0,221170,63
14/11/22,0.NEW,1169314,940,1168374,0,0,0,266889.57,0
14/11/22,1.HANDHOLDING,683792,996507.61,-312715.61,60,0,60,409105.21,4098.34
14/11/22,2.HOOK,1076524,423481.91,653042.09,702,0,702,601053.4,29773.44
14/11/22,3.DETOX,993830,120486.67,873343.33,2976,60,2916,722341.46,188991.79
14/11/22,4.SUSTENANCE,345132,19246.91,325885.09,91,0,91,164244.82,5223
14/11/22,5.COMMITTED,1920812,22524.25,1898287.75,1736,0,1736,1288559.25,107222.89
14/11/22,6.CHURN_OTB,244338,41902.63,202435.37,138,0,138,128978.09,5361
14/11/22,7.SOFT_CHURN,112370,10767,101603,83,0,83,47700,1231
14/11/22,8.DORMANT,1478500,126866.89,1351633.11,645,75,570,515911.33,10123
14/11/22,9.INACTIVE,1837850,359191,1478659,0,0,0,451395.65,114
21/11/22,0.NEW,1107099,17422,1089677,50,0,50,299448.5,324
21/11/22,1.HANDHOLDING,549608,1228343.9,-678735.9,295,1073,-778,373439.21,3945
21/11/22,2.HOOK,667014,757491.37,-90477.37,863,6521.86,-5658.86,568519.39,23130.75
21/11/22,3.DETOX,887114,254790.27,632323.73,3595,22100.48,-18505.48,864696.89,228260.72
21/11/22,4.SUSTENANCE,182911,160612.52,22298.48,93,1058,-965,159793.67,3825
21/11/22,5.COMMITTED,838596,380737.08,457858.92,1832,12158.08,-10326.08,1000417.7,70550.42
21/11/22,6.CHURN_OTB,135039,90595.68,44443.32,327,768,-441,91702.73,3431
21/11/22,7.SOFT_CHURN,70227,27562,42665,0,120,-120,34997.7,880
21/11/22,8.DORMANT,823091,416626.66,406464.34,193,855,-662,318390.8,4735
21/11/22,9.INACTIVE,1445297,1036947.46,408349.54,0,22,-22,448902.96,621
28/11/22,0.NEW,1334506,27174.79,1307331.21,0,12,-12,365434.21,664
28/11/22,1.HANDHOLDING,557133,1030880.36,-473747.36,224,1972,-1748,293810,6393
28/11/22,2.HOOK,582338,635035.49,-52697.49,1012,7772,-6760,335925.44,16109.18
28/11/22,3.DETOX,840968,288739.72,552228.28,3103,36954.78,-33851.78,682392.59,186932.5
28/11/22,4.SUSTENANCE,158861,159555.81,-694.81,309,1213,-904,94432.95,2535
28/11/22,5.COMMITTED,614175,301898.78,312276.22,1957,9408.55,-7451.55,510365.23,34840.21
28/11/22,6.CHURN_OTB,141728,90758,50970,30,1280,-1250,76697.2,3370.2
28/11/22,7.SOFT_CHURN,78328,47952.71,30375.29,55,334,-279,33093,843
28/11/22,8.DORMANT,882132,490510.12,391621.88,401,1588,-1187,279294.93,6133
28/11/22,9.INACTIVE,1493593,1333659.05,159933.95,20,60,-40,383855.31,1064.65
05/12/22,0.NEW,1392769,26478,1366291,0,12,-12,447812,316
05/12/22,1.HANDHOLDING,492474,1039801.31,-547327.31,227,2329,-2102,291156.21,4995
05/12/22,2.HOOK,521594,523484.49,-1890.49,1413,7335,-5922,308060.5,15337
05/12/22,3.DETOX,654398,244041.25,410356.75,2293,32529.37,-30236.37,557569.63,152010.77
05/12/22,4.SUSTENANCE,141075,107955.2,33119.8,564,1064,-500,84452,2967
05/12/22,5.COMMITTED,506438,175801.92,330636.08,1268,6137,-4869,432666.06,29644
05/12/22,6.CHURN_OTB,120583,69814.77,50768.23,147,1442,-1295,67330.38,3542
05/12/22,7.SOFT_CHURN,57863,30459,27404,0,282,-282,25381,686
05/12/22,8.DORMANT,882354,413453.83,468900.17,375,1332,-957,279404.8,5184
05/12/22,9.INACTIVE,1457599,1190105.67,267493.33,0,48,-48,375161.5,616