month,ltr_auto,recency_auto,,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
01/11/22,LTR 1,1. 1_7_DAYS,,120881,1.51,88571,73.27,78424,64.88,44680,36.96,56.97,28543,23.61,63.88,1.01,61518,0.83,2.16,163822,8184904,2.001514007,2.662992945
01/11/22,LTR 1,1. 15_21_DAYS,,129206,1.62,79865,61.81,69862,54.07,35271,27.3,50.49,20714,16.03,58.73,0.73,37863,0.51,1.83,111605,5098707,2.188888281,2.94760056
01/11/22,LTR 1,1. 22_30_DAYS,,156918,1.96,88402,56.34,76566,48.79,35421,22.57,46.26,20040,12.77,56.58,0.71,33981,0.46,1.7,107094,4565172,2.345891896,3.151584709
01/11/22,LTR 1,1. 8_14_DAYS,,125450,1.57,83484,66.55,73638,58.7,39281,31.31,53.34,23908,19.06,60.86,0.85,45953,0.62,1.92,139894,6029527,2.320148828,3.044284378
01/11/22,LTR 2,1. 1_7_DAYS,,94394,1.18,78354,83.01,73451,77.81,52737,55.87,71.8,40218,42.61,76.26,1.42,90817,1.22,2.26,208883,11917224,1.752782359,2.300042944
01/11/22,LTR 2,1. 15_21_DAYS,,77174,0.97,53897,69.84,48846,63.29,28178,36.51,57.69,17611,22.82,62.5,0.62,33511,0.45,1.9,96293,4478170,2.150275671,2.873474382
01/11/22,LTR 2,1. 22_30_DAYS,,91926,1.15,59635,64.87,53535,58.24,28827,31.36,53.85,17187,18.7,59.62,0.61,30129,0.4,1.75,84736,3980897,2.128565497,2.812439842
01/11/22,LTR 2,1. 8_14_DAYS,,79610,1,59302,74.49,54332,68.25,33223,41.73,61.15,21525,27.04,64.79,0.76,43614,0.59,2.03,112067,5723100,1.95815205,2.569518962
01/11/22,LTR 3,1. 1_7_DAYS,,74256,0.93,63915,86.07,60894,82.01,46401,62.49,76.2,36265,48.84,78.16,1.28,91378,1.23,2.52,189312,11835876,1.599476034,2.071745934
01/11/22,LTR 3,1. 15_21_DAYS,,54609,0.68,40609,74.36,37471,68.62,23183,42.45,61.87,15105,27.66,65.16,0.53,29390,0.39,1.95,75877,3910374,1.940402632,2.581728479
01/11/22,LTR 3,1. 22_30_DAYS,,63754,0.8,44546,69.87,40754,63.92,23386,36.68,57.38,14539,22.8,62.17,0.51,26715,0.36,1.84,66173,3557713,1.85998702,2.476997941
01/11/22,LTR 3,1. 8_14_DAYS,,59895,0.75,46735,78.03,43459,72.56,28467,47.53,65.5,19222,32.09,67.52,0.68,40534,0.54,2.11,93533,5297809,1.765503437,2.307519613
01/11/22,LTR 4,1. 1_7_DAYS,,61387,0.77,54139,88.19,51846,84.46,40586,66.11,78.28,32123,52.33,79.15,1.14,86084,1.16,2.68,156157,11082981,1.408980129,1.814007249
01/11/22,LTR 4,1. 15_21_DAYS,,42160,0.53,32869,77.96,30614,72.61,20002,47.44,65.34,13377,31.73,66.88,0.47,27156,0.36,2.03,66336,3553339,1.866863815,2.442775077
01/11/22,LTR 4,1. 22_30_DAYS,,48317,0.6,35427,73.32,32839,67.97,20094,41.59,61.19,12668,26.22,63.04,0.45,23296,0.31,1.84,54706,3111826,1.758003179,2.348300137
01/11/22,LTR 4,1. 8_14_DAYS,,47615,0.6,38908,81.71,36605,76.88,25196,52.92,68.83,17457,36.66,69.28,0.62,38000,0.51,2.18,80208,4994843,1.605816239,2.110736842
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,