month,ltr_link,recency_link,,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
01/11/22,LTR 1,1. 1_7_DAYS,,155222,1.08,96995,62.49,82698,53.28,50412,32.48,60.96,38417,24.75,76.21,0.81,98622,0.62,2.57,415747,5997475,6.932033898,4.215560423
01/11/22,LTR 1,1. 15_21_DAYS,,167466,1.17,77466,46.26,64317,38.41,34800,20.78,54.11,24990,14.92,71.81,0.53,51896,0.33,2.08,214822,3284575,6.540328657,4.13947125
01/11/22,LTR 1,1. 22_30_DAYS,,168069,1.17,76622,45.59,63039,37.51,32183,19.15,51.05,22472,13.37,69.83,0.47,43238,0.27,1.92,172792,2770901,6.235949967,3.996299551
01/11/22,LTR 1,1. 8_14_DAYS,,169878,1.18,88140,51.88,74124,43.63,42048,24.75,56.73,30705,18.07,73.02,0.65,67735,0.43,2.21,289343,4214436,6.86552127,4.271691149
01/11/22,LTR 2,1. 1_7_DAYS,,116565,0.81,88847,76.22,80976,69.47,60629,52.01,74.87,51660,44.32,85.21,1.09,144265,0.91,2.79,586165,8694020,6.742163004,4.063113021
01/11/22,LTR 2,1. 15_21_DAYS,,95234,0.66,55579,58.36,48220,50.63,29457,30.93,61.09,22241,23.35,75.5,0.47,48171,0.3,2.17,188209,2997954,6.277914871,3.907101783
01/11/22,LTR 2,1. 22_30_DAYS,,96389,0.67,52705,54.68,45396,47.1,26173,27.15,57.65,19278,20,73.66,0.41,38366,0.24,1.99,142640,2446644,5.830026763,3.717875202
01/11/22,LTR 2,1. 8_14_DAYS,,98986,0.69,63441,64.09,55762,56.33,35670,36.04,63.97,27652,27.94,77.52,0.58,64500,0.41,2.33,261266,3987516,6.552099101,4.050635659
01/11/22,LTR 3,1. 1_7_DAYS,,93380,0.65,75428,80.78,70382,75.37,54913,58.81,78.02,47740,51.12,86.94,1.01,147430,0.93,3.09,511592,8715838,5.869682296,3.470067151
01/11/22,LTR 3,1. 15_21_DAYS,,69601,0.49,44984,64.63,40001,57.47,25652,36.86,64.13,19758,28.39,77.02,0.42,43710,0.28,2.21,143353,2698339,5.312638627,3.279638527
01/11/22,LTR 3,1. 22_30_DAYS,,69810,0.49,41723,59.77,36702,52.57,22205,31.81,60.5,16749,23.99,75.43,0.35,34063,0.22,2.03,108062,2152955,5.019240997,3.172415818
01/11/22,LTR 3,1. 8_14_DAYS,,75311,0.52,52676,69.94,47356,62.88,31649,42.02,66.83,25090,33.32,79.28,0.53,60017,0.38,2.39,196269,3647997,5.380185346,3.270223437
01/11/22,LTR 4,1. 1_7_DAYS,,78753,0.55,65151,82.73,61256,77.78,49081,62.32,80.12,43118,54.75,87.85,0.91,141557,0.89,3.28,432120,8326142,5.189918692,3.052621912
01/11/22,LTR 4,1. 15_21_DAYS,,55769,0.39,37212,66.73,33492,60.05,22256,39.91,66.45,17552,31.47,78.86,0.37,39480,0.25,2.25,128977,2410147,5.351416324,3.26689463
01/11/22,LTR 4,1. 22_30_DAYS,,55281,0.39,34408,62.24,30589,55.33,19338,34.98,63.22,14841,26.85,76.75,0.31,31221,0.2,2.1,103215,1949435,5.294611003,3.30594792
01/11/22,LTR 4,1. 8_14_DAYS,,61096,0.43,43974,71.98,39897,65.3,27818,45.53,69.72,22446,36.74,80.69,0.47,55075,0.35,2.45,174364,3308963,5.269445443,3.165937358