month,ltr_taxi,recency_taxi,,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
01/11/22,LTR 1,1. 1_7_DAYS,,181392,1.16,111248,61.33,92850,51.19,68604,37.82,73.89,51141,28.19,74.55,0.8,136613,0.59,2.67,622454,11769805,5.288566803,4.556330657
01/11/22,LTR 1,1. 15_21_DAYS,,187262,1.19,81021,43.27,65001,34.71,45240,24.16,69.6,31668,16.91,70,0.49,67501,0.29,2.13,327789,6145155,5.334104673,4.856061392
01/11/22,LTR 1,1. 22_30_DAYS,,194229,1.24,78754,40.55,62042,31.94,41883,21.56,67.51,28612,14.73,68.31,0.45,56139,0.24,1.96,278067,5141864,5.407902659,4.953187624
01/11/22,LTR 1,1. 8_14_DAYS,,190285,1.21,95068,49.96,77933,40.96,55690,29.27,71.46,39888,20.96,71.63,0.62,90121,0.39,2.26,443305,7927727,5.591829789,4.918997792
01/11/22,LTR 2,1. 1_7_DAYS,,148398,0.95,110615,74.54,100082,67.44,83031,55.95,82.96,68917,46.44,83,1.07,197708,0.85,2.87,802840,16965342,4.732235872,4.060736035
01/11/22,LTR 2,1. 15_21_DAYS,,115458,0.74,63295,54.82,53981,46.75,39752,34.43,73.64,28981,25.1,72.9,0.45,63858,0.27,2.2,269641,5690359,4.738558674,4.222509318
01/11/22,LTR 2,1. 22_30_DAYS,,121680,0.78,59964,49.28,50283,41.32,36034,29.61,71.66,25237,20.74,70.04,0.39,51149,0.22,2.03,216593,4662952,4.644975972,4.23455004
01/11/22,LTR 2,1. 8_14_DAYS,,121842,0.78,74580,61.21,64749,53.14,49180,40.36,75.95,36654,30.08,74.53,0.57,88196,0.38,2.41,366197,7721037,4.742847366,4.152081727
01/11/22,LTR 3,1. 1_7_DAYS,,121170,0.77,96271,79.45,89447,73.82,76431,63.08,85.45,64796,53.48,84.78,1.01,205483,0.88,3.17,728542,17444538,4.176333016,3.545509848
01/11/22,LTR 3,1. 15_21_DAYS,,85123,0.54,52248,61.38,45893,53.91,34735,40.81,75.69,25798,30.31,74.27,0.4,58561,0.25,2.27,221642,5183105,4.276239821,3.784805587
01/11/22,LTR 3,1. 22_30_DAYS,,88760,0.57,49170,55.4,42441,47.82,31227,35.18,73.58,22489,25.34,72.02,0.35,46621,0.2,2.07,173251,4258471,4.068385108,3.716157955
01/11/22,LTR 3,1. 8_14_DAYS,,94770,0.6,63699,67.21,56773,59.91,44313,46.76,78.05,33835,35.7,76.35,0.53,83091,0.36,2.46,296060,7270570,4.072032867,3.563081441
01/11/22,LTR 4,1. 1_7_DAYS,,105836,0.68,86671,81.89,81281,76.8,70623,66.73,86.89,60497,57.16,85.66,0.94,201446,0.87,3.33,635306,17007951,3.735347074,3.153728543
01/11/22,LTR 4,1. 15_21_DAYS,,70431,0.45,45580,64.72,40631,57.69,31433,44.63,77.36,23716,33.67,75.45,0.37,54937,0.24,2.32,190678,4863894,3.920274578,3.470848426
01/11/22,LTR 4,1. 22_30_DAYS,,72281,0.46,42679,59.05,37548,51.95,28223,39.05,75.17,20544,28.42,72.79,0.32,43370,0.19,2.11,156775,3923978,3.995307823,3.614825917
01/11/22,LTR 4,1. 8_14_DAYS,,79410,0.51,55978,70.49,50548,63.65,40318,50.77,79.76,31342,39.47,77.74,0.49,79047,0.34,2.52,262150,6918320,3.789214723,3.316381393