order_month,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
01/10/22,14583684,272016,1.87,194890,13585385,413389,130768,73343,56788,129399,207383,53337,1743,3296797,8127829,1625565.8
01/11/22,16128399,300580,1.86,224288,15045101,435996,137303,78895,63005,144098,228196,51642,1846,3623861.5,8578224,1715644.8
01/12/22,17212288,307499,1.79,243938,16031454,482682,148091,83520,66451,156467,223299,45270,2186,3660508.5,8869593,1773918.6
01/01/23,16112278,304327,1.89,243235,14914745,527408,144458,78688,61376,142729,223823,44096,2241,3627797,9092915,1818583
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,total_spd_orders,Service,,,,,,,,,,,,,
01/10/22,14583684,272016,Link,272016,1.87%,,,,,,,,,,,
01/11/22,16128399,300580,Link,300580,1.86%,,,,,,,,,,,
01/12/22,17212288,307499,Link,307499,1.79%,,,,,,,,,,,
01/01/23,16112278,304327,Link,304327,1.89%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,distance<200m_orders,,,,,,,,,,,,,,
01/10/22,14583684,194890,Link,194890,1.34%,,,,,,,,,,,
01/11/22,16128399,224288,Link,224288,1.39%,,,,,,,,,,,
01/12/22,17212288,243938,Link,243938,1.42%,,,,,,,,,,,
01/01/23,16112278,243235,Link,243235,1.51%,,,,,,,,,,,